,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
0,cello,A,A,0.22666666666666666,0.85,0.35789473684210527,40.0,0.8729166666666667,0.9414673913043479,0.5980914757350679,vggish
1,clarinet,A,A,0.27358490566037735,0.8285714285714286,0.4113475177304965,70.0,0.8270833333333333,0.9156179775280899,0.5783301812752966,vggish
2,flute,A,A,0.25,0.7017543859649122,0.3686635944700461,57.0,0.8572916666666667,0.8731324435118805,0.49548234930261903,vggish
3,guitar,A,A,0.6376811594202898,0.7927927927927928,0.7068273092369477,222.0,0.8479166666666667,0.9146707683293049,0.819133354894501,vggish
4,organ,A,A,0.5,0.9076923076923077,0.644808743169399,130.0,0.8645833333333334,0.9650602409638555,0.7962659755393138,vggish
5,piano,A,A,0.5944055944055944,0.8333333333333334,0.6938775510204082,102.0,0.921875,0.9410622057680882,0.809070765490559,vggish
6,saxophone,A,A,0.273542600896861,0.7922077922077922,0.4066666666666667,77.0,0.8145833333333333,0.8546131105587504,0.5524184451096692,vggish
7,trumpet,A,A,0.3707865168539326,0.7764705882352941,0.5019011406844107,85.0,0.8635416666666667,0.9180504201680673,0.6901395769960857,vggish
8,violin,A,A,0.2388888888888889,0.6323529411764706,0.34677419354838707,68.0,0.83125,0.8373450276971776,0.3639821465245602,vggish
9,voice,A,A,0.7803030303030303,0.944954128440367,0.8547717842323651,109.0,0.9635416666666666,0.9874621330544745,0.9472741645213378,vggish
10,cello,A,B,0.2512820512820513,0.9074074074074074,0.39357429718875503,54.0,0.7861189801699717,0.9341058850261305,0.642661085727034,vggish
11,clarinet,A,B,0.18118466898954705,0.9122807017543859,0.3023255813953488,57.0,0.660056657223796,0.8940880707160814,0.5512277827579399,vggish
12,flute,A,B,0.3586206896551724,0.8125,0.4976076555023923,64.0,0.8512747875354107,0.9168126947040498,0.6623604337120769,vggish
13,guitar,A,B,0.6821192052980133,0.8306451612903226,0.7490909090909091,124.0,0.9022662889518414,0.9621577430440085,0.8707567181094101,vggish
14,organ,A,B,0.4105263157894737,0.8863636363636364,0.5611510791366906,44.0,0.9135977337110481,0.9778220269156825,0.8144655118239197,vggish
15,piano,A,B,0.5816326530612245,0.8382352941176471,0.6867469879518072,68.0,0.9263456090651558,0.9674764890282131,0.8546995389428349,vggish
16,saxophone,A,B,0.28342245989304815,0.726027397260274,0.4076923076923077,73.0,0.7818696883852692,0.8205111558354433,0.4630137098767241,vggish
17,trumpet,A,B,0.38738738738738737,0.6615384615384615,0.48863636363636365,65.0,0.8725212464589235,0.8767070682827313,0.5967496848596199,vggish
18,violin,A,B,0.2875536480686695,0.8933333333333333,0.43506493506493504,75.0,0.7535410764872521,0.9016376122556787,0.5780942864470862,vggish
19,voice,A,B,0.8888888888888888,0.975609756097561,0.9302325581395349,82.0,0.9830028328611898,0.9977720450281425,0.9840674796703923,vggish
20,cello,B,B,0.36607142857142855,0.7592592592592593,0.4939759036144578,54.0,0.8810198300283286,0.919762553965008,0.6125456504207841,vggish
21,clarinet,B,B,0.25882352941176473,0.7719298245614035,0.3876651982378855,57.0,0.8031161473087819,0.8738409969453681,0.5403442296829619,vggish
22,flute,B,B,0.38524590163934425,0.734375,0.5053763440860214,64.0,0.8696883852691218,0.9275214174454829,0.7148443158185792,vggish
23,guitar,B,B,0.6942675159235668,0.8790322580645161,0.7758007117437723,124.0,0.9107648725212465,0.966106861766988,0.8752237459611019,vggish
24,organ,B,B,0.4691358024691358,0.8636363636363636,0.608,44.0,0.9305949008498584,0.9766890964020873,0.7854651557442743,vggish
25,piano,B,B,0.7368421052631579,0.8235294117647058,0.7777777777777778,68.0,0.9546742209631728,0.9793933247280103,0.8968423209651943,vggish
26,saxophone,B,B,0.3192771084337349,0.726027397260274,0.4435146443514644,73.0,0.8116147308781869,0.8599190633859205,0.5248184317942217,vggish
27,trumpet,B,B,0.4,0.7692307692307693,0.5263157894736842,65.0,0.8725212464589235,0.8954998199927998,0.6496253399268119,vggish
28,violin,B,B,0.40540540540540543,0.8,0.5381165919282511,75.0,0.8541076487252125,0.9178024300052825,0.6761067241651365,vggish
29,voice,B,B,0.8617021276595744,0.9878048780487805,0.9204545454545454,82.0,0.9801699716713881,0.9981824577861163,0.9848669191132906,vggish
30,cello,B,A,0.4,0.5,0.4444444444444445,40.0,0.9479166666666666,0.9220108695652174,0.49722112499578547,vggish
31,clarinet,B,A,0.3458646616541353,0.6571428571428571,0.45320197044334976,70.0,0.884375,0.8941091492776886,0.44599848820691396,vggish
32,flute,B,A,0.2706766917293233,0.631578947368421,0.37894736842105264,57.0,0.8770833333333333,0.8812146645683978,0.5203954512254172,vggish
33,guitar,B,A,0.625,0.8333333333333334,0.7142857142857143,222.0,0.8458333333333333,0.9164713493981786,0.8186684903902507,vggish
34,organ,B,A,0.5450236966824644,0.8846153846153846,0.6744868035190615,130.0,0.884375,0.960982391102873,0.7831809027219452,vggish
35,piano,B,A,0.6484375,0.8137254901960784,0.7217391304347825,102.0,0.9333333333333333,0.958853238265003,0.8104648392391703,vggish
36,saxophone,B,A,0.28431372549019607,0.7532467532467533,0.41281138790035593,77.0,0.828125,0.8556279507581886,0.5098297568757856,vggish
37,trumpet,B,A,0.36548223350253806,0.8470588235294118,0.5106382978723405,85.0,0.85625,0.922944537815126,0.7092198283481488,vggish
38,violin,B,A,0.28695652173913044,0.4852941176470588,0.36065573770491804,68.0,0.878125,0.8294810076496967,0.3914694797803402,vggish
39,voice,B,A,0.7342657342657343,0.963302752293578,0.8333333333333333,109.0,0.95625,0.986664366799987,0.9404403886962543,vggish
40,cello,A,A,0.22666666666666666,0.85,0.35789473684210527,40.0,0.8729166666666667,0.9414402173913043,0.5980815582071423,vggish-lda
41,clarinet,A,A,0.27230046948356806,0.8285714285714286,0.40989399293286216,70.0,0.8260416666666667,0.9156179775280899,0.5794676760538465,vggish-lda
42,flute,A,A,0.25,0.7017543859649122,0.3686635944700461,57.0,0.8572916666666667,0.8729187309358668,0.4954684802566132,vggish-lda
43,guitar,A,A,0.6353790613718412,0.7927927927927928,0.7054108216432866,222.0,0.846875,0.9146097316829025,0.8189981286989901,vggish-lda
44,organ,A,A,0.5,0.9076923076923077,0.644808743169399,130.0,0.8645833333333334,0.9649860982391102,0.7959020142769586,vggish-lda
45,piano,A,A,0.5944055944055944,0.8333333333333334,0.6938775510204082,102.0,0.921875,0.9410050733580145,0.8095589850890944,vggish-lda
46,saxophone,A,A,0.273542600896861,0.7922077922077922,0.4066666666666667,77.0,0.8145833333333333,0.8543042461502258,0.5526764738144906,vggish-lda
47,trumpet,A,A,0.3728813559322034,0.7764705882352941,0.5038167938931298,85.0,0.8645833333333334,0.9179966386554622,0.6900880512327838,vggish-lda
48,violin,A,A,0.2388888888888889,0.6323529411764706,0.34677419354838707,68.0,0.83125,0.8374439461883407,0.3638972570368413,vggish-lda
49,voice,A,A,0.7803030303030303,0.944954128440367,0.8547717842323651,109.0,0.9635416666666666,0.9874621330544745,0.9472836206441139,vggish-lda
50,cello,A,B,0.2512820512820513,0.9074074074074074,0.39357429718875503,54.0,0.7861189801699717,0.9340774823903658,0.6426519307329847,vggish-lda
51,clarinet,A,B,0.18181818181818182,0.9122807017543859,0.30320699708454807,57.0,0.6614730878186968,0.8940610385748655,0.5518032115232437,vggish-lda
52,flute,A,B,0.3586206896551724,0.8125,0.4976076555023923,64.0,0.8512747875354107,0.9167640186915887,0.6624235031866553,vggish-lda
53,guitar,A,B,0.6776315789473685,0.8306451612903226,0.746376811594203,124.0,0.9008498583569405,0.9621161733732403,0.8706150683978477,vggish-lda
54,organ,A,B,0.4105263157894737,0.8863636363636364,0.5611510791366906,44.0,0.9135977337110481,0.9778563581433671,0.8141058040529058,vggish-lda
55,piano,A,B,0.5816326530612245,0.8382352941176471,0.6867469879518072,68.0,0.9263456090651558,0.9674073391111931,0.8548748726483565,vggish-lda
56,saxophone,A,B,0.28191489361702127,0.726027397260274,0.4061302681992337,73.0,0.7804532577903682,0.8202731069705036,0.46608609926512923,vggish-lda
57,trumpet,A,B,0.39090909090909093,0.6615384615384615,0.4914285714285714,65.0,0.8739376770538244,0.8767310692427697,0.596808656133219,vggish-lda
58,violin,A,B,0.2875536480686695,0.8933333333333333,0.43506493506493504,75.0,0.7535410764872521,0.9016376122556788,0.5783868145509201,vggish-lda
59,voice,A,B,0.8888888888888888,0.975609756097561,0.9302325581395349,82.0,0.9830028328611898,0.9977720450281425,0.9840674796703923,vggish-lda
60,cello,B,B,0.36607142857142855,0.7592592592592593,0.4939759036144578,54.0,0.8810198300283286,0.9196205407861849,0.6122490561253146,vggish-lda
61,clarinet,B,B,0.2573099415204678,0.7719298245614035,0.38596491228070173,57.0,0.8016997167138811,0.873868029086584,0.5403032175594015,vggish-lda
62,flute,B,B,0.38524590163934425,0.734375,0.5053763440860214,64.0,0.8696883852691218,0.927570093457944,0.7149027696199007,vggish-lda
63,guitar,B,B,0.6918238993710691,0.8870967741935484,0.7773851590106007,124.0,0.9107648725212465,0.9660237224254519,0.8747564588993448,vggish-lda
64,organ,B,B,0.4691358024691358,0.8636363636363636,0.608,44.0,0.9305949008498584,0.9766890964020873,0.785364051254872,vggish-lda
65,piano,B,B,0.7368421052631579,0.8235294117647058,0.7777777777777778,68.0,0.9546742209631728,0.9793702747556703,0.8967309127655507,vggish-lda
66,saxophone,B,B,0.3192771084337349,0.726027397260274,0.4435146443514644,73.0,0.8116147308781869,0.8596593737150772,0.5248458708884505,vggish-lda
67,trumpet,B,B,0.4,0.7692307692307693,0.5263157894736842,65.0,0.8725212464589235,0.8954998199927997,0.6478246524498226,vggish-lda
68,violin,B,B,0.40540540540540543,0.8,0.5381165919282511,75.0,0.8541076487252125,0.9178024300052826,0.6759046846527054,vggish-lda
69,voice,B,B,0.8617021276595744,0.9878048780487805,0.9204545454545454,82.0,0.9801699716713881,0.9981824577861163,0.9848669191132906,vggish-lda
70,cello,B,A,0.4,0.5,0.4444444444444445,40.0,0.9479166666666666,0.9220652173913043,0.49698226637788684,vggish-lda
71,clarinet,B,A,0.3458646616541353,0.6571428571428571,0.45320197044334976,70.0,0.884375,0.8941573033707865,0.4460392042389004,vggish-lda
72,flute,B,A,0.2706766917293233,0.631578947368421,0.37894736842105264,57.0,0.8770833333333333,0.8810398088243866,0.5210251041496788,vggish-lda
73,guitar,B,A,0.6241610738255033,0.8378378378378378,0.7153846153846153,222.0,0.8458333333333333,0.9163126541175322,0.8187750686640911,vggish-lda
74,organ,B,A,0.5424528301886793,0.8846153846153846,0.672514619883041,130.0,0.8833333333333333,0.9609545875810936,0.7832272554114833,vggish-lda
75,piano,B,A,0.6484375,0.8137254901960784,0.7217391304347825,102.0,0.9333333333333333,0.958807532336944,0.8103626600944759,vggish-lda
76,saxophone,B,A,0.28431372549019607,0.7532467532467533,0.41281138790035593,77.0,0.828125,0.8555102881263698,0.5098840588464575,vggish-lda
77,trumpet,B,A,0.36548223350253806,0.8470588235294118,0.5106382978723405,85.0,0.85625,0.9229445378151261,0.7089187596002399,vggish-lda
78,violin,B,A,0.28695652173913044,0.4852941176470588,0.36065573770491804,68.0,0.878125,0.8296128989712477,0.39067612114423517,vggish-lda
79,voice,B,A,0.7342657342657343,0.963302752293578,0.8333333333333333,109.0,0.95625,0.9866859280501084,0.9405174450733202,vggish-lda
80,cello,A,A,0.22666666666666666,0.85,0.35789473684210527,40.0,0.8729166666666667,0.9415760869565217,0.5982310392057832,vggish-mlda
81,clarinet,A,A,0.2744186046511628,0.8428571428571429,0.4140350877192982,70.0,0.8260416666666667,0.9160834670947031,0.5803730438223571,vggish-mlda
82,flute,A,A,0.24390243902439024,0.7017543859649122,0.36199095022624433,57.0,0.853125,0.8713838860717686,0.4934346856370764,vggish-mlda
83,guitar,A,A,0.6330935251798561,0.7927927927927928,0.704,222.0,0.8458333333333333,0.9144937620547376,0.8168943696355,vggish-mlda
84,organ,A,A,0.5042016806722689,0.9230769230769231,0.6521739130434783,130.0,0.8666666666666667,0.9646895273401297,0.7948238813288908,vggish-mlda
85,piano,A,A,0.6071428571428571,0.8333333333333334,0.7024793388429752,102.0,0.925,0.9413821472645002,0.8102993117558644,vggish-mlda
86,saxophone,A,A,0.25,0.6883116883116883,0.36678200692041524,77.0,0.809375,0.8301834066273479,0.38774662493634676,vggish-mlda
87,trumpet,A,A,0.3687150837988827,0.7764705882352941,0.5,85.0,0.8625,0.9181579831932773,0.6910255286843935,vggish-mlda
88,violin,A,A,0.24022346368715083,0.6323529411764706,0.3481781376518218,68.0,0.8322916666666667,0.8374109733579531,0.36464607319182984,vggish-mlda
89,voice,A,A,0.7803030303030303,0.944954128440367,0.8547717842323651,109.0,0.9635416666666666,0.9873974493041107,0.94702888312233,vggish-mlda
90,cello,A,B,0.2512820512820513,0.9074074074074074,0.39357429718875503,54.0,0.7861189801699717,0.934418314019541,0.6451614349988334,vggish-mlda
91,clarinet,A,B,0.18118466898954705,0.9122807017543859,0.3023255813953488,57.0,0.660056657223796,0.8953045170707972,0.5612279952230831,vggish-mlda
92,flute,A,B,0.35374149659863946,0.8125,0.4928909952606635,64.0,0.8484419263456091,0.9169830607476636,0.6611324191611659,vggish-mlda
93,guitar,A,B,0.673202614379085,0.8306451612903226,0.743682310469314,124.0,0.8994334277620396,0.962130029930163,0.8702858539771585,vggish-mlda
94,organ,A,B,0.4166666666666667,0.9090909090909091,0.5714285714285715,44.0,0.9150141643059491,0.9779936830541059,0.8139723840896369,vggish-mlda
95,piano,A,B,0.5816326530612245,0.8382352941176471,0.6867469879518072,68.0,0.9263456090651558,0.9657477411027107,0.8511657440562975,vggish-mlda
96,saxophone,A,B,0.2655367231638418,0.6438356164383562,0.37599999999999995,73.0,0.7790368271954674,0.7949966456750849,0.37115180650214785,vggish-mlda
97,trumpet,A,B,0.39090909090909093,0.6615384615384615,0.4914285714285714,65.0,0.8739376770538244,0.8771390855634226,0.5968320800539434,vggish-mlda
98,violin,A,B,0.2875536480686695,0.8933333333333333,0.43506493506493504,75.0,0.7535410764872521,0.9014474379292129,0.5787403761060066,vggish-mlda
99,voice,A,B,0.8888888888888888,0.975609756097561,0.9302325581395349,82.0,0.9830028328611898,0.997791588492808,0.9841920467996184,vggish-mlda
100,cello,B,B,0.36283185840707965,0.7592592592592593,0.4910179640718563,54.0,0.8796033994334278,0.9197057486934788,0.6125014521256117,vggish-mlda
101,clarinet,B,B,0.2558139534883721,0.7719298245614035,0.38427947598253276,57.0,0.8002832861189801,0.8738680290865839,0.5408542010567228,vggish-mlda
102,flute,B,B,0.3884297520661157,0.734375,0.508108108108108,64.0,0.8711048158640227,0.9274727414330218,0.7142044418967478,vggish-mlda
103,guitar,B,B,0.6835443037974683,0.8709677419354839,0.7659574468085106,124.0,0.9065155807365439,0.9661900011085245,0.8755256901033184,vggish-mlda
104,organ,B,B,0.4523809523809524,0.8636363636363636,0.59375,44.0,0.9263456090651558,0.9762427904421862,0.780853532917211,vggish-mlda
105,piano,B,B,0.7333333333333333,0.8088235294117647,0.7692307692307693,68.0,0.953257790368272,0.9794624746450304,0.8969498471925524,vggish-mlda
106,saxophone,B,B,0.3192771084337349,0.726027397260274,0.4435146443514644,73.0,0.8116147308781869,0.8587937414789327,0.5166792401997642,vggish-mlda
107,trumpet,B,B,0.3968253968253968,0.7692307692307693,0.5235602094240838,65.0,0.8711048158640227,0.8951638065522621,0.6491907157259577,vggish-mlda
108,violin,B,B,0.40816326530612246,0.8,0.5405405405405406,75.0,0.8555240793201133,0.9178024300052827,0.6748530572794799,vggish-mlda
109,voice,B,B,0.8617021276595744,0.9878048780487805,0.9204545454545454,82.0,0.9801699716713881,0.9981824577861163,0.9848669191132906,vggish-mlda
110,cello,B,A,0.4,0.5,0.4444444444444445,40.0,0.9479166666666666,0.9221739130434783,0.49786963903318204,vggish-mlda
111,clarinet,B,A,0.34814814814814815,0.6714285714285714,0.4585365853658536,70.0,0.884375,0.8945585874799358,0.4475890609514119,vggish-mlda
112,flute,B,A,0.26865671641791045,0.631578947368421,0.3769633507853403,57.0,0.8760416666666667,0.8803792426803442,0.5208705412782086,vggish-mlda
113,guitar,B,A,0.6195286195286195,0.8288288288288288,0.7090558766859345,222.0,0.8427083333333333,0.9161234405136844,0.81869205836423,vggish-mlda
114,organ,B,A,0.5299539170506913,0.8846153846153846,0.6628242074927954,130.0,0.878125,0.9601204819277109,0.7806392044120337,vggish-mlda
115,piano,B,A,0.6456692913385826,0.803921568627451,0.7161572052401747,102.0,0.9322916666666666,0.9588303853009735,0.8085690938767461,vggish-mlda
116,saxophone,B,A,0.28292682926829266,0.7532467532467533,0.4113475177304964,77.0,0.8270833333333333,0.8569222397081966,0.5037485124089893,vggish-mlda
117,trumpet,B,A,0.36363636363636365,0.8470588235294118,0.5088339222614842,85.0,0.8552083333333333,0.9233478991596639,0.7116596709352507,vggish-mlda
118,violin,B,A,0.2920353982300885,0.4852941176470588,0.3646408839779005,68.0,0.8802083333333334,0.8290688472698496,0.39080188910315167,vggish-mlda
119,voice,B,A,0.7342657342657343,0.963302752293578,0.8333333333333333,109.0,0.95625,0.986664366799987,0.9404403886962543,vggish-mlda
